Exp,s,block,cond,mental,physical,temporal,performance,effort,frustration,mean_v.C,mean_v.N,mean_v.Cerr,mean_v.Nerr,mean_v.P,diff.C,diff.N,sum.C,sum.N,sum
E1,30,Control,A,17,2,6,15,18,17,-0.2901633,-1.2327943,-1.434031,-2.27211698,,1.1438677,1.03932268,-1.7241943,-3.50491128,-5.22910558
E1,30,Control,B,15,2,18,13,13,17,0.569367,-0.6964824,-2.30378738,0.08213166,,2.87315438,-0.77861406,-1.73442038,-0.61435074,-2.34877112
E1,30,Control,C,15,2,9.5,13,11,11,0.8072967,0.3766801,-2.02672937,0.03507953,,2.83402607,0.34160057,-1.21943267,0.41175963,-0.80767304
E1,30,Control,D,11,2.5,18,11,14,14,0.2023161,0.2796355,-0.744132259,-0.5792881,,0.946448359,0.8589236,-0.541816159,-0.2996526,-0.841468759
E1,30,PM,A,16,2,15,13.5,11,14,0.2639315,0.04593332,-0.78882141,-1.04709259,2.7952521,1.05275291,1.09302591,-0.52488991,-1.00115927,1.26920292
E1,30,PM,B,14.5,2,8,11,11,11,1.7757739,-0.6243578,-0.9526444,2.07743288,2.3654141,2.7284183,-2.70179068,0.8231295,1.45307508,4.64161868
E1,30,PM,C,13.5,2.5,11,11,14.5,13,1.3401826,-1.245836,-1.1909051,0.75107207,1.12266761,2.5310877,-1.99690807,0.1492775,-0.49476393,0.77718118
E1,30,PM,D,13,2.5,18,18,7.5,11,0.5168503,0.8502054,1.175149,0.9922277,2.43965689,-0.6582987,-0.1420223,1.6919993,1.8424331,5.97408929
E1,31,Control,A,20.5,9.5,14.5,3.5,20.5,4.5,0.7247949,2.2801095,1.01366225,-1.47753803,,-0.28886735,3.75764753,1.73845715,0.80257147,2.54102862
E1,31,Control,B,20.5,5.5,13.5,3.5,1.5,1.5,1.0502048,2.6706305,1.32933181,-0.23761281,,-0.27912701,2.90824331,2.37953661,2.43301769,4.8125543
E1,31,Control,C,20.5,14.5,17.5,2.5,20.5,4.5,0.9567929,2.4123432,0.90102099,-1.32358407,,0.05577191,3.73592727,1.85781389,1.08875913,2.94657302
E1,31,Control,D,20.5,17.5,16.5,1.5,18.5,3.5,1.7015318,3.7498708,1.572342227,1.4434598,,0.129189573,2.306411,3.273874027,5.1933306,8.467204627
E1,31,PM,A,20.5,13.5,15.5,4.5,20.5,3.5,0.7565998,1.96384344,1.175211,-1.0873142,1.5576765,-0.4186112,3.05115764,1.9318108,0.87652924,4.36601654
E1,31,PM,B,20,5.5,10.5,2.5,20.5,1.5,1.5030241,2.6885796,1.391898,0.43005686,-0.5134458,0.1111261,2.25852274,2.8949221,3.11863646,5.50011276
E1,31,PM,C,20.5,17.5,18.5,4.5,20.5,4.5,0.6892598,1.488894,0.95182279,-1.72586541,1.34158261,-0.26256299,3.21475941,1.64108259,-0.23697141,2.74569379
E1,31,PM,D,20.5,20.5,16.5,6.5,20.5,5.5,1.407918,2.3868313,1.754178,0.5145543,1.90753368,-0.34626,1.872277,3.162096,2.9013856,7.97101528
E1,32,Control,A,2,1,1,5,2,1,0.8597,1.9624622,0.87214361,0.24458911,,-0.01244361,1.71787309,1.73184361,2.20705131,3.93889492
